Error norm,Size,Duration
2.2877848589957431e+110,,
4.5725182177001801e+110,,
9.1389537309418554e+110,,
1.8265782402877772e+111,,
3.6507394907059709e+111,,
7.296660950259116e+111,,
1.4583717546461714e+112,,
2.9148289426685492e+112,,
5.8258412861775388e+112,,
1.1644074294899161e+113,,
2.3272981584481306e+113,,
4.6515727678188722e+113,,
9.297118026564921e+113,,
1.858221998529811e+114,,
3.7140485283678827e+114,,
7.4233215194804232e+114,,
1.4837122586958301e+115,,
2.9655265162387308e+115,,
5.927269138743375e+115,,
1.1846994568472161e+116,,
2.3678949600730874e+116,,
4.7327915347011608e+116,,
9.4596052338725151e+116,,
1.8907292452708075e+117,,
3.7790823761499226e+117,,
7.5534274162640901e+117,,
1.509740977835751e+118,,
3.0175988351703538e+118,,
6.0314431440476256e+118,,
1.2055400534077974e+119,,
2.4095875897665296e+119,,
4.816199361441554e+119,,
9.6264654165335329e+119,,
1.9241100677306678e+120,,
3.8458613554742844e+120,,
7.6870195734980842e+120,,
1.5364661558794108e+121,,
3.071062500038794e+121,,
6.1383967261347998e+121,,
1.2269359479671674e+122,,
2.4523895919248678e+122,,
4.901823508140089e+122,,
9.7977534328170877e+122,,
1.9583755042798837e+123,,
3.9144076747439279e+123,,
7.8241426678132438e+123,,
1.5638967794264683e+124,,
3.1259355852230141e+124,,
6.248166233416476e+124,,
1.2488944496026093e+125,,
2.4963156624307488e+125,,
4.9896935199114316e+125,,
9.9735286754665496e+125,,
1.9935374931375607e+126,,
3.9847453280797396e+126,,
7.9648449195075275e+126,,
1.5920425382860281e+127,,
3.1822375605140114e+127,,
6.3607907831554537e+127,,
1.2714234167658883e+128,,
2.5413815871007498e+128,,
5.0798411040133969e+128,,
1.0153854825764869e+129,,
2.0296088229975397e+129,,
4.0568999958628314e+129,,
8.1091778914502466e+129,,
1.6209137846492955e+130,,
3.2399892078541623e+130,,
6.476312090850583e+130,,
1.2945312221418901e+131,,
2.587604168914653e+131,,
5.1722999783090315e+131,,
1.0338799536160611e+132,,
2.0666030661735812e+132,,
4.1308989030911029e+132,,
8.2571961872824275e+132,,
1.6505214684316161e+133,,
3.2992124820859603e+133,,
6.594774168854598e+133,,
1.3182266871210509e+134,,
2.6350010849443977e+134,,
5.2671055577038521e+134,,
1.0528433740722308e+135,,
2.1045344265133523e+135,,
4.2067704830768073e+135,,
8.4089567061366202e+135,,
1.6808769718087679e+136,,
3.3599301430474143e+136,,
6.7162225073726964e+136,,
1.3425188993126692e+137,,
2.6835904794740049e+137,,
5.3642940465471814e+137,,
1.0722829630127405e+138,,
2.1434172875518056e+138,,
4.2845433693136335e+138,,
8.5645163938458508e+138,,
1.711991607760235e+139,,
3.4221646378697489e+139,,
6.8407015845267808e+139,,
1.3674166581930367e+140,,
2.7333897306421812e+140,,
5.4638996965980696e+140,,
1.0922054560289294e+141,,
2.1832648604483911e+141,,
4.3642433969954487e+141,,
